state,location,million_plus_city,lat,lon,crash_date,crash_day,article_date,month,vehicle1,vehicle2,killed,injured,age,gender,road_type,crash_type
Tamil Nadu,Koduvai,Nil,10.938561165704384,77.44021576561727,2022-08-04,Thursday,2022-08-06,August,SUV,Bus,5,1,"34,34,36,40,38",Male,NH,Head On Collision
West Bengal,Westin Hotel,Kolkata,22.5920678013354,88.47414316235025,2022-08-05,Friday,2022-08-06,August,Two Wheeler,Truck,1,1,26,Male,OR,With Parked Vehicle
Madhya Pradesh,Malharganj,Indore,22.719798679395797,75.844653127901,2022-08-05,Friday,2022-08-06,August,Pedestrian,Truck,1,0,8,Male,OR,Hit and Run
West Bengal,Ballygunge,Kolkata,22.52951965698945,88.3657621945832,2022-08-07,Sunday,2022-08-07,August,Pedestrian,Car,1,0,45,Female,SH,Hit and Run
Kerala,Telk Road,Nil,10.182455185251523,76.37771870467434,2022-08-06,Saturday,2022-08-07,August,Two Wheeler,Nil,1,0,42,Male,OR,Run Off Road
Maharashtra,Turf Club Chowk,Pune,18.50646197538379,73.88988097872114,2022-08-05,Friday,2022-08-07,August,Two Wheeler,Truck,2,0,"43,40",Male,NH,Hit From Side
Uttar Pradesh,Shivgarh,Nil,25.58143154317199,81.83963789136295,2022-08-07,Sunday,2022-08-08,August,Two Wheeler,Two Wheeler,1,1,46,Male,NH,Head On Collision
Bihar,Sanhauli,Nil,25.51621795949444,86.48360471433303,2022-08-07,Sunday,2022-08-08,August,Two Wheeler,Bus,1,1,55,Female,OR,Others
Maharashtra,Goodil Square,Nil,18.597471864679743,73.9038236844523,2022-08-06,Saturday,2022-08-08,August,Two Wheeler,Tree,2,0,"37,36",Male,OR,Fixed Object Collision
West Bengal,Tivoli Court,Kolkata,22.539431321025116,88.35850106678355,2022-08-07,Sunday,2022-08-08,August,Pedestrian,Car,1,0,40,Female,OR,Others
